Delta, Rate, Expect, Margin
20, 48.12%, 109.63%, 0.48%
21, 48.12%, 110.00%, 0.48%
22, 47.33%, 110.45%, 0.47%
23, 47.19%, 110.75%, 0.47%
24, 47.19%, 111.07%, 0.46%
25, 46.84%, 111.34%, 0.45%
26, 47.48%, 111.40%, 0.44%
27, 47.83%, 111.60%, 0.43%
28, 48.42%, 111.79%, 0.42%
29, 48.72%, 112.07%, 0.42%
Stock SH600027
1, 45.70%, 101.63%, 1.63%
2, 46.30%, 102.46%, 1.23%
3, 47.01%, 103.02%, 1.01%
4, 48.10%, 103.49%, 0.87%
5, 47.06%, 104.04%, 0.81%
6, 47.06%, 104.43%, 0.74%
7, 46.30%, 104.85%, 0.69%
8, 47.12%, 105.08%, 0.64%
9, 46.52%, 105.38%, 0.60%
10, 45.76%, 105.72%, 0.57%
11, 46.03%, 105.89%, 0.54%
12, 45.16%, 106.23%, 0.52%
13, 45.38%, 106.52%, 0.50%
14, 45.70%, 106.90%, 0.49%
15, 45.97%, 107.28%, 0.49%
16, 46.46%, 107.54%, 0.47%
17, 46.14%, 107.90%, 0.46%
18, 46.74%, 108.05%, 0.45%
19, 47.01%, 108.28%, 0.44%
20, 47.44%, 108.53%, 0.43%
21, 47.23%, 108.85%, 0.42%
22, 47.50%, 109.01%, 0.41%
23, 47.58%, 109.14%, 0.40%
24, 47.17%, 109.53%, 0.40%
25, 46.81%, 109.84%, 0.39%
26, 45.47%, 110.35%, 0.40%
27, 45.50%, 110.59%, 0.39%
28, 45.63%, 110.71%, 0.38%
29, 45.82%, 110.83%, 0.37%
Stock SH600028
1, 44.47%, 101.36%, 1.36%
2, 46.37%, 101.98%, 0.99%
3, 47.56%, 102.47%, 0.82%
4, 47.69%, 102.92%, 0.73%
5, 48.41%, 103.22%, 0.64%
6, 48.32%, 103.47%, 0.58%
7, 48.41%, 103.67%, 0.52%
8, 47.69%, 103.99%, 0.50%
9, 47.42%, 104.23%, 0.47%
10, 47.25%, 104.51%, 0.45%
11, 48.41%, 104.67%, 0.42%
12, 47.92%, 105.02%, 0.42%
13, 48.41%, 105.25%, 0.40%
14, 48.39%, 105.49%, 0.39%
15, 48.32%, 105.71%, 0.38%
16, 47.62%, 106.01%, 0.38%
17, 47.67%, 106.19%, 0.36%
18, 47.35%, 106.40%, 0.36%
19, 47.89%, 106.53%, 0.34%
20, 48.21%, 106.71%, 0.34%
21, 47.31%, 107.08%, 0.34%
22, 47.40%, 107.33%, 0.33%
23, 47.44%, 107.60%, 0.33%
24, 47.67%, 107.86%, 0.33%
25, 47.89%, 108.09%, 0.32%
26, 47.69%, 108.39%, 0.32%
27, 47.76%, 108.61%, 0.32%
28, 47.82%, 108.77%, 0.31%
29, 48.16%, 108.87%, 0.31%
Stock SH600029
1, 48.27%, 101.93%, 1.93%
2, 48.38%, 102.92%, 1.46%
3, 50.21%, 103.51%, 1.17%
4, 48.85%, 104.29%, 1.07%
5, 49.53%, 104.80%, 0.96%
6, 49.69%, 105.30%, 0.88%
7, 48.90%, 105.80%, 0.83%
8, 48.12%, 106.27%, 0.78%
9, 47.18%, 106.79%, 0.75%
10, 47.70%, 107.05%, 0.71%
11, 47.28%, 107.48%, 0.68%
12, 47.96%, 107.63%, 0.64%
13, 47.78%, 107.97%, 0.61%
14, 48.38%, 108.20%, 0.59%
15, 48.32%, 108.46%, 0.56%
16, 47.96%, 108.77%, 0.55%
17, 48.69%, 108.94%, 0.53%
18, 48.64%, 109.30%, 0.52%
19, 48.22%, 109.74%, 0.51%
20, 47.49%, 110.24%, 0.51%
21, 46.75%, 110.75%, 0.51%
22, 46.57%, 111.16%, 0.51%
23, 47.12%, 111.46%, 0.50%
24, 47.25%, 111.80%, 0.49%
25, 47.06%, 112.23%, 0.49%
26, 46.51%, 112.84%, 0.49%
27, 47.58%, 112.92%, 0.48%
28, 46.87%, 113.39%, 0.48%
29, 46.27%, 114.00%, 0.48%
Stock SH600030
1, 49.16%, 101.94%, 1.94%
2, 51.20%, 102.81%, 1.40%
3, 51.20%, 103.49%, 1.16%
4, 52.04%, 104.08%, 1.02%
5, 52.56%, 104.51%, 0.90%
6, 51.57%, 105.03%, 0.84%
7, 52.04%, 105.34%, 0.76%
8, 51.46%, 105.68%, 0.71%
9, 50.68%, 106.13%, 0.68%
10, 50.31%, 106.62%, 0.66%
11, 50.47%, 107.03%, 0.64%
12, 50.26%, 107.47%, 0.62%
13, 51.25%, 107.65%, 0.59%
14, 52.54%, 107.79%, 0.56%
15, 52.30%, 108.09%, 0.54%
16, 52.12%, 108.37%, 0.52%
17, 52.20%, 108.64%, 0.51%
18, 52.07%, 108.90%, 0.49%
19, 52.25%, 109.16%, 0.48%
20, 51.55%, 109.57%, 0.48%
21, 51.52%, 109.95%, 0.47%
22, 51.44%, 110.41%, 0.47%
23, 51.89%, 110.70%, 0.47%
24, 51.39%, 111.18%, 0.47%
25, 52.26%, 111.36%, 0.45%
26, 52.18%, 111.80%, 0.45%
27, 51.16%, 112.50%, 0.46%
28, 50.82%, 113.03%, 0.47%
29, 50.42%, 113.59%, 0.47%
Stock SH600031
1, 47.20%, 101.98%, 1.98%
2, 48.13%, 103.12%, 1.56%
3, 48.60%, 103.95%, 1.32%
4, 48.29%, 104.75%, 1.19%
5, 49.64%, 105.22%, 1.04%
6, 49.69%, 105.73%, 0.96%
7, 50.88%, 106.07%, 0.87%
8, 50.67%, 106.56%, 0.82%
9, 50.73%, 106.97%, 0.77%
10, 50.31%, 107.50%, 0.75%
11, 50.52%, 108.01%, 0.73%
12, 50.88%, 108.56%, 0.71%
13, 50.73%, 109.13%, 0.70%
14, 49.66%, 109.81%, 0.70%
15, 50.00%, 110.22%, 0.68%
16, 49.06%, 110.82%, 0.68%
17, 48.39%, 111.33%, 0.67%
18, 48.39%, 111.71%, 0.65%
19, 48.60%, 111.93%, 0.63%
20, 48.23%, 112.33%, 0.62%
21, 48.44%, 112.56%, 0.60%
22, 48.49%, 112.80%, 0.58%
23, 48.73%, 112.98%, 0.56%
24, 49.12%, 113.18%, 0.55%
25, 49.30%, 113.41%, 0.54%
26, 49.69%, 113.64%, 0.52%
27, 50.13%, 113.81%, 0.51%
28, 50.00%, 114.11%, 0.50%
29, 50.23%, 114.25%, 0.49%
Stock SH600033
1, 45.43%, 101.36%, 1.36%
2, 48.85%, 101.92%, 0.96%
3, 48.98%, 102.37%, 0.79%
4, 50.09%, 102.66%, 0.66%
5, 48.98%, 103.02%, 0.60%
6, 48.85%, 103.27%, 0.54%
7, 49.26%, 103.43%, 0.49%
8, 47.55%, 103.75%, 0.47%
9, 46.17%, 104.01%, 0.45%
10, 46.54%, 104.12%, 0.41%
11, 46.95%, 104.24%, 0.39%
12, 45.84%, 104.54%, 0.38%
13, 46.21%, 104.74%, 0.36%
14, 47.32%, 104.84%, 0.35%
15, 47.92%, 104.93%, 0.33%
16, 48.11%, 105.12%, 0.32%
17, 47.83%, 105.33%, 0.31%
18, 48.43%, 105.43%, 0.30%
19, 47.46%, 105.73%, 0.30%
20, 47.37%, 105.94%, 0.30%
21, 47.51%, 106.16%, 0.29%
22, 47.37%, 106.35%, 0.29%
23, 47.65%, 106.51%, 0.28%
24, 48.48%, 106.61%, 0.28%
25, 48.38%, 106.73%, 0.27%
26, 48.52%, 106.89%, 0.26%
27, 48.89%, 106.96%, 0.26%
28, 49.26%, 107.01%, 0.25%
29, 48.89%, 107.15%, 0.25%
Stock SH600035
1, 46.01%, 101.56%, 1.56%
2, 47.94%, 102.20%, 1.10%
3, 48.21%, 102.68%, 0.89%
4, 47.99%, 103.15%, 0.79%
5, 47.51%, 103.54%, 0.71%
6, 45.96%, 103.89%, 0.65%
7, 44.25%, 104.27%, 0.61%
8, 43.55%, 104.54%, 0.57%
9, 43.39%, 104.87%, 0.54%
10, 44.46%, 105.11%, 0.51%
11, 44.03%, 105.46%, 0.50%
12, 43.18%, 105.85%, 0.49%
13, 44.19%, 105.95%, 0.46%
14, 43.87%, 106.17%, 0.44%
15, 42.96%, 106.51%, 0.43%
16, 43.71%, 106.63%, 0.41%
17, 43.87%, 106.88%, 0.40%
18, 43.82%, 107.15%, 0.40%
19, 43.71%, 107.34%, 0.39%
20, 43.50%, 107.55%, 0.38%
21, 43.87%, 107.72%, 0.37%
22, 44.09%, 107.96%, 0.36%
23, 44.84%, 108.09%, 0.35%
24, 44.36%, 108.35%, 0.35%
25, 45.00%, 108.46%, 0.34%
26, 45.32%, 108.65%, 0.33%
27, 44.94%, 108.91%, 0.33%
28, 44.36%, 109.15%, 0.33%
29, 44.43%, 109.27%, 0.32%
Stock SH600036
1, 47.09%, 101.54%, 1.54%
2, 49.34%, 102.23%, 1.11%
3, 50.51%, 102.81%, 0.94%
4, 51.59%, 103.25%, 0.81%
5, 52.27%, 103.68%, 0.74%
6, 51.93%, 104.12%, 0.69%
7, 52.22%, 104.42%, 0.63%
8, 52.54%, 104.69%, 0.59%
9, 52.81%, 104.87%, 0.54%
10, 52.28%, 105.15%, 0.52%
11, 52.33%, 105.39%, 0.49%
12, 52.13%, 105.69%, 0.47%
13, 51.69%, 105.98%, 0.46%
14, 51.93%, 106.15%, 0.44%
15, 51.30%, 106.38%, 0.43%
16, 50.71%, 106.62%, 0.41%
17, 51.35%, 106.74%, 0.40%
18, 51.42%, 106.92%, 0.38%
19, 51.74%, 107.04%, 0.37%
20, 52.01%, 107.18%, 0.36%
21, 52.43%, 107.39%, 0.35%
22, 52.85%, 107.65%, 0.35%
23, 52.82%, 107.98%, 0.35%
24, 52.75%, 108.36%, 0.35%
25, 52.53%, 108.72%, 0.35%
26, 52.36%, 109.04%, 0.35%
27, 52.88%, 109.17%, 0.34%
28, 52.98%, 109.38%, 0.34%
29, 52.63%, 109.63%, 0.33%
Stock SH600037
1, 49.12%, 101.75%, 1.75%
2, 49.57%, 102.65%, 1.32%
3, 49.03%, 103.34%, 1.11%
4, 48.62%, 103.91%, 0.98%
5, 48.17%, 104.46%, 0.89%
6, 48.39%, 104.82%, 0.80%
7, 49.34%, 105.10%, 0.73%
8, 49.52%, 105.48%, 0.68%
9, 49.12%, 106.02%, 0.67%
10, 48.35%, 106.58%, 0.66%
11, 48.08%, 107.02%, 0.64%
12, 48.30%, 107.31%, 0.61%
13, 48.17%, 107.58%, 0.58%
14, 47.10%, 108.02%, 0.57%
15, 47.49%, 108.29%, 0.55%
16, 48.10%, 108.53%, 0.53%
17, 49.21%, 108.73%, 0.51%
18, 48.68%, 109.18%, 0.51%
19, 47.66%, 109.73%, 0.51%
20, 47.46%, 110.08%, 0.50%
21, 47.82%, 110.25%, 0.49%
22, 48.00%, 110.44%, 0.47%
23, 48.55%, 110.57%, 0.46%
24, 48.41%, 110.89%, 0.45%
25, 48.41%, 111.23%, 0.45%
26, 48.50%, 111.38%, 0.44%
27, 47.82%, 111.67%, 0.43%
28, 46.73%, 112.07%, 0.43%
29, 46.68%, 112.22%, 0.42%
Stock SH600038
1, 50.51%, 102.29%, 2.29%
2, 51.73%, 103.47%, 1.74%
3, 52.92%, 104.24%, 1.41%
4, 53.29%, 104.78%, 1.20%
5, 52.63%, 105.27%, 1.05%
6, 52.02%, 105.58%, 0.93%
7, 52.32%, 105.87%, 0.84%
8, 52.41%, 106.23%, 0.78%
9, 51.24%, 106.84%, 0.76%
10, 49.73%, 107.51%, 0.75%
11, 49.00%, 108.08%, 0.73%
12, 49.34%, 108.53%, 0.71%
13, 50.07%, 108.88%, 0.68%
14, 50.59%, 109.28%, 0.66%
15, 50.76%, 109.78%, 0.65%
16, 51.15%, 110.15%, 0.63%
17, 51.49%, 110.37%, 0.61%
18, 51.59%, 110.59%, 0.59%
19, 51.34%, 110.93%, 0.58%
20, 51.24%, 111.24%, 0.56%
21, 51.24%, 111.53%, 0.55%
22, 52.17%, 111.69%, 0.53%
23, 53.34%, 111.88%, 0.52%
24, 53.93%, 112.25%, 0.51%
25, 53.34%, 112.87%, 0.51%
26, 53.05%, 113.39%, 0.51%
27, 53.64%, 113.62%, 0.50%
28, 54.12%, 113.83%, 0.49%
29, 54.47%, 113.99%, 0.48%
Stock SH600039
1, 50.08%, 101.96%, 1.96%
2, 50.05%, 102.99%, 1.49%
3, 49.60%, 103.74%, 1.25%
4, 50.59%, 104.27%, 1.07%
5, 50.99%, 104.81%, 0.96%
6, 50.91%, 105.33%, 0.89%
7, 51.48%, 105.68%, 0.81%
8, 50.32%, 106.14%, 0.77%
9, 50.11%, 106.48%, 0.72%
10, 51.02%, 106.70%, 0.67%
11, 51.45%, 106.93%, 0.63%
12, 51.51%, 107.20%, 0.60%
13, 51.34%, 107.62%, 0.59%
14, 51.45%, 107.96%, 0.57%
15, 51.67%, 108.29%, 0.55%
16, 51.08%, 108.77%, 0.55%
17, 51.24%, 109.09%, 0.53%
18, 51.13%, 109.40%, 0.52%
19, 50.00%, 109.95%, 0.52%
20, 50.86%, 110.14%, 0.51%
21, 51.10%, 110.45%, 0.50%
22, 51.18%, 110.81%, 0.49%
23, 51.53%, 111.02%, 0.48%
24, 51.51%, 111.13%, 0.46%
25, 52.18%, 111.08%, 0.44%
26, 52.54%, 111.05%, 0.42%
27, 51.94%, 111.28%, 0.42%
28, 52.16%, 111.42%, 0.41%
29, 52.00%, 111.67%, 0.40%
Stock SH600048
1, 49.85%, 102.10%, 2.10%
2, 50.49%, 103.21%, 1.60%
3, 50.52%, 104.12%, 1.37%
4, 50.00%, 104.92%, 1.23%
5, 52.28%, 105.33%, 1.07%
6, 51.49%, 105.92%, 0.99%
7, 52.28%, 106.29%, 0.90%
8, 51.79%, 106.74%, 0.84%
9, 51.06%, 107.28%, 0.81%
10, 51.37%, 107.70%, 0.77%
11, 50.82%, 108.09%, 0.74%
12, 51.37%, 108.38%, 0.70%
13, 52.04%, 108.59%, 0.66%
14, 51.76%, 108.95%, 0.64%
15, 52.34%, 109.09%, 0.61%
16, 51.71%, 109.47%, 0.59%
17, 51.61%, 109.64%, 0.57%
18, 51.52%, 109.79%, 0.54%
19, 51.40%, 110.09%, 0.53%
20, 49.88%, 110.74%, 0.54%
21, 49.91%, 111.15%, 0.53%
22, 50.09%, 111.47%, 0.52%
23, 50.21%, 111.73%, 0.51%
24, 50.52%, 112.02%, 0.50%
25, 50.70%, 112.28%, 0.49%
26, 51.43%, 112.46%, 0.48%
27, 51.62%, 112.81%, 0.47%
28, 52.29%, 113.10%, 0.47%
29, 53.39%, 113.29%, 0.46%
Stock SH600050
1, 44.06%, 101.60%, 1.60%
2, 45.87%, 102.34%, 1.17%
3, 45.97%, 102.91%, 0.97%
4, 47.38%, 103.21%, 0.80%
5, 46.65%, 103.63%, 0.73%
6, 47.29%, 103.88%, 0.65%
7, 47.53%, 104.17%, 0.60%
8, 47.09%, 104.48%, 0.56%
9, 46.21%, 104.90%, 0.54%
10, 46.26%, 105.25%, 0.52%
11, 47.16%, 105.43%, 0.49%
12, 47.58%, 105.71%, 0.48%
13, 47.40%, 106.00%, 0.46%
14, 47.97%, 106.17%, 0.44%
15, 47.99%, 106.35%, 0.42%
16, 47.92%, 106.52%, 0.41%
17, 48.18%, 106.65%, 0.39%
18, 48.06%, 106.88%, 0.38%
19, 47.05%, 107.25%, 0.38%
20, 47.27%, 107.49%, 0.37%
21, 47.20%, 107.71%, 0.37%
22, 47.91%, 107.73%, 0.35%
23, 47.49%, 107.92%, 0.34%
24, 48.10%, 107.87%, 0.33%
25, 47.59%, 108.03%, 0.32%
26, 47.22%, 108.21%, 0.32%
27, 46.75%, 108.43%, 0.31%
28, 46.62%, 108.70%, 0.31%
29, 47.38%, 108.79%, 0.30%
Stock SH600051
1, 49.90%, 101.88%, 1.88%
2, 50.10%, 102.88%, 1.44%
3, 50.38%, 103.55%, 1.18%
4, 50.26%, 104.12%, 1.03%
5, 50.71%, 104.56%, 0.91%
6, 49.33%, 105.00%, 0.83%
7, 47.92%, 105.42%, 0.77%
8, 48.57%, 105.64%, 0.70%
9, 47.08%, 106.10%, 0.68%
10, 47.52%, 106.38%, 0.64%
11, 47.36%, 106.77%, 0.62%
12, 47.28%, 107.07%, 0.59%
13, 47.04%, 107.43%, 0.57%
14, 46.99%, 107.82%, 0.56%
15, 46.59%, 108.24%, 0.55%
16, 47.12%, 108.56%, 0.54%
17, 46.75%, 109.04%, 0.53%
18, 46.83%, 109.36%, 0.52%
19, 46.87%, 109.72%, 0.51%
20, 47.12%, 110.03%, 0.50%
21, 47.52%, 110.24%, 0.49%
22, 47.44%, 110.53%, 0.48%
23, 47.36%, 110.79%, 0.47%
24, 47.32%, 111.01%, 0.46%
25, 47.80%, 111.07%, 0.44%
26, 47.28%, 111.37%, 0.44%
27, 47.04%, 111.63%, 0.43%
28, 46.83%, 111.91%, 0.43%
29, 46.47%, 112.21%, 0.42%
Stock SH600052
1, 47.22%, 101.88%, 1.88%
2, 46.65%, 102.85%, 1.42%
3, 48.14%, 103.35%, 1.12%
4, 47.30%, 103.85%, 0.96%
5, 47.37%, 104.23%, 0.85%
6, 47.07%, 104.63%, 0.77%
7, 46.19%, 105.08%, 0.73%
8, 45.27%, 105.60%, 0.70%
9, 43.89%, 106.19%, 0.69%
10, 44.19%, 106.63%, 0.66%
11, 43.62%, 107.21%, 0.66%
12, 42.78%, 107.85%, 0.65%
13, 43.62%, 108.09%, 0.62%
14, 43.21%, 108.62%, 0.62%
15, 43.46%, 108.99%, 0.60%
16, 43.27%, 109.40%, 0.59%
17, 43.61%, 109.68%, 0.57%
18, 43.42%, 110.12%, 0.56%
19, 43.57%, 110.59%, 0.56%
20, 44.07%, 110.99%, 0.55%
21, 44.23%, 111.46%, 0.55%
22, 44.76%, 111.80%, 0.54%
23, 44.53%, 112.33%, 0.54%
24, 45.61%, 112.38%, 0.52%
25, 45.03%, 112.81%, 0.51%
26, 44.99%, 113.15%, 0.51%
27, 45.34%, 113.36%, 0.49%
28, 44.53%, 113.85%, 0.49%
29, 45.11%, 113.87%, 0.48%
Stock SH600053
1, 46.94%, 102.12%, 2.12%
2, 48.89%, 103.15%, 1.58%
3, 48.77%, 103.92%, 1.31%
4, 49.13%, 104.49%, 1.12%
5, 47.16%, 105.28%, 1.06%
6, 47.28%, 105.75%, 0.96%
7, 46.51%, 106.33%, 0.90%
8, 46.03%, 106.88%, 0.86%
9, 45.69%, 107.48%, 0.83%
10, 45.38%, 107.96%, 0.80%
11, 46.13%, 108.24%, 0.75%
12, 45.90%, 108.70%, 0.73%
13, 46.65%, 109.00%, 0.69%
14, 46.71%, 109.33%, 0.67%
15, 46.28%, 109.72%, 0.65%
16, 46.74%, 109.92%, 0.62%
17, 46.40%, 110.32%, 0.61%
18, 46.14%, 110.78%, 0.60%
19, 46.52%, 111.05%, 0.58%
20, 45.81%, 111.72%, 0.59%
21, 45.71%, 112.31%, 0.59%
22, 44.79%, 113.06%, 0.59%
23, 44.83%, 113.46%, 0.59%
24, 44.67%, 113.99%, 0.58%
25, 44.18%, 114.59%, 0.58%
26, 44.10%, 114.99%, 0.58%
27, 44.06%, 115.39%, 0.57%
28, 44.14%, 115.73%, 0.56%
29, 44.63%, 115.80%, 0.54%
Stock SH600054
1, 49.72%, 101.56%, 1.56%
2, 49.72%, 102.32%, 1.16%
3, 50.97%, 102.81%, 0.94%
4, 51.29%, 103.17%, 0.79%
5, 50.61%, 103.54%, 0.71%
6, 50.48%, 103.87%, 0.64%
7, 50.65%, 104.12%, 0.59%
8, 50.65%, 104.41%, 0.55%
9, 50.73%, 104.65%, 0.52%
10, 49.78%, 104.99%, 0.50%
11, 49.19%, 105.24%, 0.48%
12, 49.86%, 105.43%, 0.45%
13, 49.88%, 105.76%, 0.44%
14, 49.33%, 106.10%, 0.44%
15, 49.56%, 106.45%, 0.43%
16, 49.58%, 106.79%, 0.42%
17, 49.11%, 107.17%, 0.42%
18, 49.62%, 107.35%, 0.41%
19, 49.11%, 107.68%, 0.40%
20, 49.05%, 107.96%, 0.40%
21, 49.29%, 108.16%, 0.39%
22, 49.37%, 108.38%, 0.38%
23, 49.29%, 108.67%, 0.38%
24, 49.98%, 108.78%, 0.37%
25, 49.78%, 109.07%, 0.36%
26, 49.57%, 109.38%, 0.36%
27, 49.86%, 109.52%, 0.35%
28, 49.86%, 109.74%, 0.35%
29, 49.86%, 109.90%, 0.34%
Stock SH600055
1, 48.99%, 102.06%, 2.06%
2, 50.22%, 103.13%, 1.56%
3, 50.73%, 103.93%, 1.31%
4, 49.54%, 104.72%, 1.18%
5, 50.14%, 105.16%, 1.03%
6, 49.50%, 105.60%, 0.93%
7, 48.63%, 106.06%, 0.87%
8, 49.07%, 106.32%, 0.79%
9, 47.70%, 106.90%, 0.77%
10, 47.08%, 107.41%, 0.74%
11, 47.58%, 107.74%, 0.70%
12, 47.32%, 108.25%, 0.69%
13, 48.01%, 108.53%, 0.66%
14, 48.19%, 108.93%, 0.64%
15, 48.59%, 109.24%, 0.62%
16, 49.07%, 109.53%, 0.60%
17, 48.91%, 109.96%, 0.59%
18, 49.03%, 110.32%, 0.57%
19, 48.55%, 110.95%, 0.58%
20, 48.87%, 111.41%, 0.57%
21, 48.43%, 112.06%, 0.57%
22, 48.59%, 112.48%, 0.57%
23, 48.75%, 112.97%, 0.56%
24, 48.79%, 113.43%, 0.56%
25, 48.87%, 113.82%, 0.55%
26, 49.54%, 114.03%, 0.54%
27, 48.87%, 114.55%, 0.54%
28, 49.30%, 114.66%, 0.52%
29, 49.46%, 114.90%, 0.51%
Stock SH600056
1, 48.80%, 101.92%, 1.92%
2, 50.65%, 102.81%, 1.41%
3, 51.52%, 103.45%, 1.15%
4, 51.16%, 104.06%, 1.01%
5, 51.08%, 104.48%, 0.90%
6, 51.52%, 104.72%, 0.79%
7, 50.22%, 105.13%, 0.73%
8, 49.65%, 105.47%, 0.68%
9, 48.05%, 106.00%, 0.67%
10, 46.76%, 106.49%, 0.65%
11, 46.96%, 106.79%, 0.62%
12, 47.32%, 107.12%, 0.59%
13, 48.03%, 107.42%, 0.57%
14, 48.54%, 107.75%, 0.55%
15, 48.38%, 108.19%, 0.55%
16, 48.62%, 108.56%, 0.53%
17, 49.17%, 108.79%, 0.52%
18, 49.17%, 109.08%, 0.50%
19, 49.01%, 109.39%, 0.49%
20, 49.01%, 109.62%, 0.48%
21, 48.93%, 109.86%, 0.47%
22, 48.78%, 110.05%, 0.46%
23, 48.42%, 110.38%, 0.45%
24, 48.11%, 110.71%, 0.45%
25, 48.74%, 110.84%, 0.43%
26, 49.37%, 111.01%, 0.42%
27, 49.76%, 111.18%, 0.41%
28, 49.72%, 111.40%, 0.41%
29, 49.47%, 111.77%, 0.41%
Stock SH600057
1, 48.57%, 101.93%, 1.93%
2, 47.40%, 102.93%, 1.47%
3, 48.92%, 103.53%, 1.18%
4, 48.27%, 104.08%, 1.02%
5, 46.93%, 104.73%, 0.95%
6, 47.40%, 105.33%, 0.89%
7, 48.01%, 105.77%, 0.82%
8, 47.53%, 106.29%, 0.79%
9, 48.31%, 106.55%, 0.73%
10, 47.60%, 107.04%, 0.70%
11, 47.57%, 107.34%, 0.67%
12, 47.55%, 107.55%, 0.63%
13, 47.66%, 107.91%, 0.61%
14, 48.20%, 108.17%, 0.58%
15, 48.31%, 108.53%, 0.57%
16, 47.48%, 109.04%, 0.57%
17, 48.26%, 109.26%, 0.54%
18, 48.87%, 109.45%, 0.53%
19, 48.96%, 109.85%, 0.52%
20, 48.22%, 110.47%, 0.52%
21, 48.70%, 110.97%, 0.52%
22, 48.70%, 111.34%, 0.52%
23, 48.74%, 111.65%, 0.51%
24, 48.48%, 112.03%, 0.50%
25, 48.94%, 112.15%, 0.49%
26, 48.44%, 112.45%, 0.48%
27, 47.76%, 112.81%, 0.47%
28, 47.43%, 113.06%, 0.47%
29, 47.11%, 113.31%, 0.46%
Stock SH600058
1, 49.14%, 101.92%, 1.92%
2, 47.86%, 103.02%, 1.51%
3, 48.11%, 103.82%, 1.27%
4, 49.31%, 104.40%, 1.10%
5, 48.94%, 105.03%, 1.01%
6, 48.60%, 105.62%, 0.94%
7, 49.15%, 106.06%, 0.87%
8, 49.31%, 106.45%, 0.81%
9, 48.52%, 106.94%, 0.77%
10, 48.52%, 107.32%, 0.73%
11, 48.29%, 107.67%, 0.70%
12, 48.21%, 108.05%, 0.67%
13, 49.04%, 108.23%, 0.63%
14, 48.48%, 108.65%, 0.62%
15, 48.37%, 109.02%, 0.60%
16, 48.52%, 109.30%, 0.58%
17, 48.25%, 109.67%, 0.57%
18, 48.56%, 109.92%, 0.55%
19, 48.01%, 110.44%, 0.55%
20, 47.23%, 111.08%, 0.55%
21, 47.54%, 111.49%, 0.55%
22, 48.45%, 111.75%, 0.53%
23, 48.01%, 112.28%, 0.53%
24, 48.29%, 112.57%, 0.52%
25, 47.97%, 113.02%, 0.52%
26, 48.13%, 113.34%, 0.51%
27, 48.37%, 113.62%, 0.50%
28, 49.00%, 113.70%, 0.49%
29, 48.98%, 113.95%, 0.48%
Stock SH600059
1, 49.84%, 101.72%, 1.72%
2, 49.69%, 102.61%, 1.30%
3, 49.88%, 103.16%, 1.05%
4, 49.65%, 103.61%, 0.90%
5, 50.12%, 103.88%, 0.78%
6, 50.86%, 104.06%, 0.68%
7, 50.31%, 104.41%, 0.63%
8, 50.23%, 104.75%, 0.59%
9, 50.00%, 105.10%, 0.57%
10, 48.28%, 105.66%, 0.57%
11, 48.24%, 106.06%, 0.55%
12, 47.49%, 106.44%, 0.54%
13, 48.20%, 106.67%, 0.51%
14, 49.06%, 106.92%, 0.49%
15, 48.32%, 107.38%, 0.49%
16, 48.94%, 107.61%, 0.48%
17, 48.28%, 108.03%, 0.47%
18, 48.51%, 108.29%, 0.46%
19, 48.75%, 108.66%, 0.46%
20, 48.98%, 109.02%, 0.45%
21, 48.86%, 109.34%, 0.44%
22, 49.22%, 109.54%, 0.43%
23, 49.26%, 109.76%, 0.42%
24, 49.63%, 109.91%, 0.41%
25, 48.86%, 110.25%, 0.41%
26, 48.84%, 110.49%, 0.40%
27, 48.98%, 110.67%, 0.40%
28, 48.47%, 111.01%, 0.39%
29, 48.55%, 111.21%, 0.39%
Stock SH600060
1, 48.90%, 101.91%, 1.91%
2, 49.20%, 102.82%, 1.41%
3, 50.34%, 103.39%, 1.13%
4, 49.85%, 103.98%, 0.99%
5, 49.35%, 104.44%, 0.89%
6, 48.56%, 104.87%, 0.81%
7, 47.91%, 105.27%, 0.75%
8, 47.07%, 105.75%, 0.72%
9, 46.64%, 106.17%, 0.69%
10, 46.77%, 106.53%, 0.65%
11, 46.86%, 106.82%, 0.62%
12, 46.84%, 107.17%, 0.60%
13, 47.01%, 107.47%, 0.57%
14, 46.76%, 107.85%, 0.56%
15, 46.78%, 108.18%, 0.55%
16, 47.29%, 108.43%, 0.53%
17, 47.96%, 108.63%, 0.51%
18, 47.39%, 109.03%, 0.50%
19, 48.15%, 109.21%, 0.48%
20, 48.53%, 109.50%, 0.48%
21, 49.18%, 109.84%, 0.47%
22, 49.56%, 110.10%, 0.46%
23, 50.36%, 110.24%, 0.45%
24, 50.17%, 110.51%, 0.44%
25, 50.06%, 110.79%, 0.43%
26, 50.21%, 110.95%, 0.42%
27, 50.21%, 111.13%, 0.41%
28, 50.25%, 111.37%, 0.41%
29, 50.29%, 111.65%, 0.40%
Stock SH600061
1, 48.82%, 102.01%, 2.01%
2, 50.08%, 103.03%, 1.52%
3, 51.11%, 103.72%, 1.24%
4, 50.04%, 104.31%, 1.08%
5, 48.29%, 104.94%, 0.99%
6, 48.87%, 105.29%, 0.88%
7, 49.03%, 105.65%, 0.81%
8, 47.63%, 106.18%, 0.77%
9, 47.28%, 106.53%, 0.73%
10, 46.43%, 106.98%, 0.70%
11, 46.16%, 107.47%, 0.68%
12, 46.78%, 107.70%, 0.64%
